WIND_SPEED,AIR_VELOCITY,TEMPERATURE,HUMIDITY,ILLUMINATION_INTENSITY,CARBON_DIOXIDE,DBYHS_SPCHCKN
0.0,0.0,20.46,98.33,0.0,667.66,1
0.0,0.0,20.43,98.26,0.0,641.82,1
0.0,0.0,20.72,97.82,0.0,636.76,1
0.0,0.0,20.58,98.24,0.0,635.53,1
0.0,0.0,20.62,97.89,0.0,637.56,1
0.0,0.0,20.64,98.23,0.0,635.9,1
0.0,0.0,20.53,98.22,0.0,635.79,1
0.0,0.0,20.4,98.23,0.0,635.58,1
0.0,0.0,20.75,97.98,0.0,639.63,1
0.0,0.0,20.48,98.01,0.0,640.52,1
0.0,0.0,20.75,97.85,0.0,659.16,1
0.0,0.0,20.46,98.22,0.0,744.35,1
0.0,0.0,20.48,98.31,0.0,685.24,1
0.0,0.0,20.79,98.41,0.0,935.17,1
0.0,0.0,20.7,98.29,0.0,1035.74,1
0.0,0.0,20.85,98.18,0.0,844.82,1
0.0,0.0,20.84,98.03,0.0,711.32,1
0.0,0.0,20.44,98.21,0.0,660.57,1
3.5,3.5,20.5,100.0,37.1,7401.0,0
3.4,3.4,20.2,99.7,0.0,7467.0,0
2.3,2.3,20.5,99.6,0.0,7424.9,0
1.6,1.6,20.4,46.9,0.0,7467.0,0
2.1,2.1,20.6,43.5,0.0,7428.5,0
1.6,1.6,20.9,47.1,0.0,7463.3,0
1.7,1.7,20.8,46.8,0.0,7448.7,0
1.6,1.6,20.9,43.8,0.0,7467.0,0
1.6,1.6,20.4,50.1,0.0,7463.3,0
2.1,2.1,20.4,46.7,12.3,7467.0,0
4.4,4.4,21.4,99.7,0.0,7463.3,0
3.7,3.7,20.9,100.0,0.0,7393.7,0
3.2,3.2,21.1,100.0,75.5,7424.9,0
4.2,4.2,21.1,100.0,0.0,7397.4,0
3.4,3.4,21.5,97.7,0.0,7397.4,0
3.6,3.6,21.1,97.8,0.0,7393.7,0
4.9,4.9,21.2,99.8,157.8,7393.7,0
2.6,2.6,21.3,97.8,0.0,7415.7,0
4.1,4.1,22.2,97.6,20.9,7468.8,0
3.6,3.6,21.8,97.8,0.0,7397.4,0
3.4,3.4,21.1,100.0,0.0,7397.4,0
3.7,3.7,21.1,98.4,12.3,7401.0,0
3.9,3.9,21.1,100.0,0.0,7448.7,0
4.6,4.6,21.8,93.5,0.0,7467.0,0
3.5,3.5,21.1,100.0,125.5,7393.7,0
3.9,3.9,21.1,93.6,83.6,7465.2,0
2.9,2.9,21.3,100.0,154.6,7428.5,0
3.3,3.3,21.1,100.0,0.0,7461.5,0
3.4,3.4,20.8,99.8,155.5,7415.7,0
3.3,3.3,20.6,99.7,96.0,7401.0,0
